Ⅴ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅴ,ファイブ,ファイブ,0/4,C0
Ⅵ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅵ,シックス,シックス,0/4,C0
Ⅶ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅶ,セブン,セブン,0/3,C0
Ⅷ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅷ,エイト,エイト,0/3,C0
Ⅸ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅸ,ナイン,ナイン,0/3,C0
Ⅹ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅹ,テン,テン,0/2,C0
Ⅺ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅺ,イレブン,イレブン,0/4,C0
Ⅻ,0,0,15000,名詞,サ変接続,*,*,*,*,Ⅻ,トウェルブ,トウェルブ,0/5,C0
ⅰ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅰ,ワン,ワン,0/2,C0
ⅱ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅱ,ツー,ツー,0/2,C0
ⅲ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅲ,スリー,スリー,0/3,C0
ⅳ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅳ,フォー,フォー,0/3,C0
ⅴ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅴ,ファイブ,ファイブ,0/4,C0
ⅵ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅵ,シックス,シックス,0/4,C0
ⅶ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅶ,セブン,セブン,0/3,C0
ⅷ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅷ,エイト,エイト,0/3,C0
ⅸ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅸ,ナイン,ナイン,0/3,C0
ⅹ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅹ,テン,テン,0/2,C0
ⅺ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅺ,イレブン,イレブン,0/4,C0
ⅻ,0,0,15000,名詞,サ変接続,*,*,*,*,ⅻ,トウェルブ,トウェルブ,0/5,C0
↔,0,0,15000,名詞,サ変接続,*,*,*,*,↔,サユウ,サユウ,0/3,C0
↕,0,0,15000,名詞,サ変接続,*,*,*,*,↕,ジョウゲ,ジョウゲ,0/4,C0
↖,0,0,15000,名詞,サ変接続,*,*,*,*,↖,ヒダリウエ,ヒダリウエ,0/5,C0
